,0
100,-34.128552018893146
101,-33.93407058014905
102,-34.75510846474562
103,-35.656808514293715
104,-34.693486988484636
105,-34.81342581923411
106,-33.940609949777176
107,-32.80955141061577
108,-35.83374813624566
109,-37.5713787233171
110,-35.99527525798601
111,-32.80635424735287
112,-33.384172206746484
113,-35.584031493176
114,-37.94111998607673
115,-35.291233879444036
116,-36.342128724715074
117,-38.14693748945517
118,-43.321449071246505
119,-43.97331501899335
120,-38.70686327756364
121,-35.299187129656126
122,-39.73173850051194
123,-40.430953345282674
124,-37.18717972625369
125,-38.206549439336925
126,-42.00497380206781
127,-44.68477425489519
128,-45.39567057053942
129,-42.45762153120335
130,-38.742667672041456
131,-40.99250577985173
132,-48.70071463857589
133,-47.57136580978199
134,-44.23183526108329
135,-47.08463832797483
136,-48.105487559575565
137,-46.22557050244064
138,-49.445393433202256
139,-46.12149450575453
140,-46.83293466191316
141,-50.65625546232502
142,-50.9816021396766
143,-54.14631028486179
144,-56.546898396650974
145,-55.260529549603966
146,-56.11432286420216
147,-64.0856434829645
148,-64.60740873193632
149,-59.18479698939534
150,-61.20954345724158
151,-61.6973047450777
152,-56.07412542340278
153,-49.4259825876505
154,-47.090085863666374
155,-46.58264017985184
156,-44.107906260931976
157,-40.9590891999969
158,-37.99198846861008
159,-42.49247286117292
160,-45.741011241059326
161,-47.4820328300384
162,-47.16751252866308
163,-47.354914064229746
164,-49.18103841007543
165,-56.66190555112854
166,-58.405397545273985
167,-58.19825734574067
168,-55.6236828241854
169,-50.468493661462
170,-44.74442804084517
171,-40.93280767618162
172,-36.02940158801942
173,-35.751972296083885
174,-41.638062890859906
175,-45.09600207346426
176,-42.88310239094784
177,-44.25976386404715
178,-50.381507671703204
179,-54.95769811736244
180,-59.11574575101055
181,-56.67334345514654
182,-57.29739708944571
183,-55.758799996390266
184,-55.93513147433569
185,-51.50770501509962
186,-54.23869903857969
187,-55.453957342527225
188,-55.48416880113828
189,-54.2595501470345
190,-49.18412709145551
191,-52.005636470483104
192,-54.86159154983845
193,-50.41217732183391
194,-43.2227892265938
195,-41.18468189896913
196,-42.35262018374486
197,-45.757717440630394
198,-42.6116199256888
199,-40.97388823742938
