,0
100,-34.99932242985331
101,-38.33664301811322
102,-40.68757895658527
103,-43.542737080252394
104,-44.63311755573675
105,-46.319110487482796
106,-48.66689503729737
107,-45.7045896992763
108,-46.13948133400705
109,-51.67331981652302
110,-57.19140135575166
111,-60.01189420418662
112,-62.20526070978521
113,-61.28190383314673
114,-57.371030509227396
115,-54.7585293121854
116,-47.9168645368197
117,-51.065101805631464
118,-52.66600724362583
119,-59.43203869121228
120,-65.87662849573687
121,-68.28428943004336
122,-66.31782290778256
123,-62.55506485076429
124,-60.38690945442546
125,-59.791296998163766
126,-59.2145928738469
127,-58.30384155183829
128,-55.65352369090667
129,-53.27737664317487
130,-53.01896277326239
131,-49.867574115793154
132,-45.23503278931338
133,-45.96300356918877
134,-40.507949803109526
135,-36.31660288867545
136,-30.127275565405874
137,-30.751250519584783
138,-33.55283503607493
139,-37.08239033244047
140,-40.27159565379934
141,-41.62984416516857
142,-39.82724985309618
143,-42.07418996587174
144,-43.11099683417911
145,-42.35151216772903
146,-42.297938560552055
147,-42.581563539724286
148,-41.273737246874546
149,-41.48488028692499
150,-43.30008015362726
151,-45.216124457368565
152,-47.00611321481109
153,-50.46318657205484
154,-54.077829362172054
155,-48.90640057526503
156,-46.17099522058174
157,-44.381006463139215
158,-43.22759821450548
159,-43.47340652978808
160,-42.66665103347595
161,-38.37445968200285
162,-35.94473902709407
163,-35.37433768009214
164,-35.10962103286472
165,-33.729312800893204
166,-30.96554494829269
167,-32.91625452726614
168,-33.704101691633454
169,-31.602125457101472
170,-28.977018705429604
171,-26.380274451674953
172,-24.086063509037352
173,-20.10270824599624
174,-19.481884680474803
175,-22.41582752057866
176,-24.665919022011693
177,-26.540995273205887
178,-28.261653480184087
179,-30.265936666334518
180,-30.889911620513423
181,-34.15159888099408
182,-33.62531697519672
183,-35.57917794282765
184,-38.17277080792483
185,-42.94712462399072
186,-42.54689826449212
187,-38.23894996973168
188,-35.18525436064399
189,-32.75553370573522
190,-28.242745148239273
191,-24.889667616692
192,-23.97576490602593
193,-22.047115047654756
194,-19.77811521427691
195,-18.101576448503277
196,-16.009054379943706
197,-13.377644850956896
198,-11.499417211105232
199,-14.263185063705752
